id,(ru),(en),(nl),(sci),images,ID изображений,Названия файлов,Сложность,Переопределения сложности,Family
1,Астерискус приморский,Beach Daisy,Zeegoudsbloem,Asteriscus maritimus,1,p1_1,BeachDaisy.JPG,Hard,,Asteraceae
2,Дикая морковь,Sea Carrot,"Peen, Wilde peen",Daucus carota,1,p2_1,DaucusCarota2.JPG,Medium,,Apiaceae
3,Агапантус,Agapanthus,Afrikaanse lelie,Agapanthus africanus,2,"p3_1, p3_2","Agapanthus.JPG, Agapanthus_Hard_HartonoSubagio.JPG",Medium,p3_2:Hard,Amaryllidaceae
4,Бугенвиллия,Bougainvillea,Bouganville,Bougainvillea spectabilis,2,"p4_1, p4_2","bougainvillea.JPG, Bougainvillea_Medium_HartonoSubagio.JPG",Hard,p4_2:Medium,Nyctaginaceae
5,Камелия,Camellia,Japanse roos,Camellia japonica,5,"p5_1, p5_2, p5_3, p5_4, p5_5","Camellia.JPG, Camellia_SonnySixteen.JPG, Camellia_Hard_KaramAlani.JPG, Camellia_Hard_PedroOliveira.JPG, CamelliaSasanqua_SonnySixteen.JPG",Medium,"p5_3:Hard, p5_4:Hard",Theaceae
6,Гербера,Gerbera,Gerbera,Gerbera jamesonii,1,p6_1,Gerbera.JPG,Easy,,Asteraceae
7,Арктотека ноготковая,Cape Weed,Kaapse goudsbloem,Arctotheca calendula,0,,,,,
8,Гацания,Gazania,"Gazania, Middagbloem",Gazania,7,"p8_1, p8_2, p8_3, p8_4, p8_5, p8_6, p8_7","Gazania_AdilBadshah.JPG, Gazania_DigitalBuggu-368742.JPG, Gazania_Hard_BorisAus.JPG, Gazania_Hard_ClaudiaSchmalz.JPG, Gazania_Hard_MarvinHenner.JPG, Gazania_Hard_mbrn01.JPG, Gazania_LeandroHenrique.JPG",Medium,"p8_3:Hard, p8_4:Hard, p8_5:Hard, p8_6:Hard",Asteraceae
9,Лампрантус золотой,Golden Ice Plant,Gele ijsbloem,Lampranthus aureus,0,,,,,
10,Борщевик,Hogweed,Berenklauw,Heracleum,0,,,,,
11,Дудник лесной,Wild Parsley,Gewone engelwortel,Angelica sylvestris,0,,,,,
